Trait,fpScoreSetID,ScoreSetCreationDate,fpNodeId,sampleNum,Value,Row,Column,line id,line name,packet_stemid,position,pot_stemid
Flowering Date,196,20180725,280632,1,20180827,7,5,18,DUNDEE,ST50PKT0YJK0,1G5,ST50PT0W4G6
Flowering Date,196,20180725,280633,1,20180813,7,6,286,CMSS97MOO316S-OP20M-OP20Y-43M-0Y,ST50PKT0YJJZ,1G6,ST50PT0W2R6
Flowering Date,196,20180725,280634,1,20180831,7,7,277,HARPER,ST50PKT0YJJY,1G7,ST50PT0W2SY
Flowering Date,196,20180725,280635,1,20180808,7,8,135,CL3,ST50PKT0YJJX,1G8,ST50PT0W3KQ
Flowering Date,196,20180725,280636,1,20180813,7,9,28,LANCER,ST50PKT0YJJW,1G9,ST50PT0W4D8
Flowering Date,196,20180725,280637,1,20180906,7,10,12,SABRE,ST50PKT0YJJV,1G10,ST50PT0W48X
Flowering Date,196,20180725,280639,1,20180820,7,12,84,MISKLE,ST50PKT0YJJS,1G12,ST50PT0W3Y6
Flowering Date,196,20180725,280640,1,20180806,8,1,123,HOUTMAN,ST50PKT0YJJR,1H1,ST50PT0W3VH
Flowering Date,196,20180725,280641,1,20180913,8,2,241,MERINDA,ST50PKT0YJJQ,1H2,ST50PT0W2Z0
Flowering Date,196,20180725,280642,1,20180927,8,3,21,INSIGNIA,ST50PKT0YJJP,1H3,ST50PT0W4FM
Flowering Date,196,20180725,280643,1,20180810,8,4,268,FRONTANA,ST50PKT0YJJN,1H4,ST50PT0W2PV
Flowering Date,196,20180725,280644,1,20180801,8,5,118,ARNHEM,ST50PKT0YJJM,1H5,ST50PT0W3WG
Flowering Date,196,20180725,280645,1,20180903,8,6,175,MULGARA,ST50PKT0YJJL,1H6,ST50PT0W3CL
Flowering Date,196,20180725,280646,1,20180808,8,7,117,BARUNGA,ST50PKT0YJJK,1H7,ST50PT0W3WN
Flowering Date,196,20180725,280647,1,20180806,8,8,243,MACE,ST50PKT0YJJJ,1H8,ST50PT0W2YM
Flowering Date,196,20180725,280648,1,20180903,8,9,281,WEDIN,ST50PKT0YJJH,1H9,ST50PT0W2S6
Flowering Date,196,20180725,280649,1,20180824,8,10,158,BAXTER,ST50PKT0YJJG,1H10,ST50PT0W3GV
Flowering Date,196,20180725,280650,1,20180831,8,11,4,GABO,ST50PKT0YJJF,1H11,ST50PT0W476
Flowering Date,196,20180725,280653,1,20180815,9,2,46,LANCE,ST50PKT0YJJB,1I2,ST50PT0W45H
Flowering Date,196,20180725,280654,1,20180806,9,3,278,KING_ROCK,ST50PKT0YJJ9,1I3,ST50PT0W2SS
Flowering Date,196,20180725,280655,1,20180806,9,4,252,PEAKE,ST50PKT0YJJ8,1I4,ST50PT0W2PF
Flowering Date,196,20180725,280656,1,NA,9,5,173,PBW343,ST50PKT0YJGM,1I5,ST50PT0W3CY
Flowering Date,196,20180725,280657,1,20180921,9,6,116,FRAME,ST50PKT0YJGL,1I6,ST50PT0W3WT
Flowering Date,196,20180725,280659,1,20180806,9,8,82,WILGOYNE,ST50PKT0YJGJ,1I8,ST50PT0W3YL
Flowering Date,196,20180725,280660,1,20180810,9,9,130,SWIFT,ST50PKT0YJGH,1I9,ST50PT0W3N9
Flowering Date,196,20180725,280661,1,20180815,9,10,113,BD159,ST50PKT0YJGG,1I10,ST50PT0W3XF
Flowering Date,196,20180725,280662,1,20180808,9,11,213,EGA_WEDGETAIL,ST50PKT0YJGF,1I11,ST50PT0W2XZ
Flowering Date,196,20180725,280663,1,20180810,9,12,143,CARNAMAH,ST50PKT0YJGD,1I12,ST50PT0W3MD
Flowering Date,196,20180725,280664,1,NA,10,1,196,MIRA,ST50PKT0YJGC,1J1,ST50PT0W35X
Flowering Date,196,20180725,280665,1,20180808,10,2,92,CUNNINGHAM,ST50PKT0YJGB,1J2,ST50PT0W3QS
Flowering Date,196,20180725,280666,1,20180910,10,3,202,STYLET,ST50PKT0YJG9,1J3,ST50PT0W3CD
