fpNodeId,Row,Column,line id,line name,packet_stemid,position,pot_stemid,Flowering Date_20180524.40.1,Flowering Date_20180725.15.1,Flowering Date_20180817.2.1,final leaf number_20180524.41.1,final leaf number_20181204.26.1,final leaf number_20181210.31.1,spikelet number_20180524.42.1,spikelet number_20181204.27.1,spikelet number_20181210.32.1,Height_20180524.43.1,Height_20181204.28.1,Height_20181210.33.1,tillers_20180524.44.1,tillers_20181204.29.1,tillers_20181210.34.1,empty spikelets_20180524.45.1,empty spikelets_20181204.30.1,empty spikelets_20181210.35.1,Spike Length_20181122.59.1,Spike Length_20181204.31.1,Spike Length_20181210.36.1,Photo_20181129.60.1,Photo_20181204.32.1,seed weight_20190208.65.1,plant_date_20190318.1.1,vern_end_date_20190318.1.1
280598,4,7,197,MITRE,ST50PKT0YJGW,1D7,ST50PT0W35Q,,20180810,,8,,,15,,,443,,,7,,,0,,,68,,,,,6.44,20180413,20180613
280599,4,8,44,COOK,ST50PKT0YJGV,1D8,ST50PT0W45Y,,20180813,,,,9,,,17,,,505,,,8,,,9,,,75,,,1.03,20180413,20180613
280600,4,9,180,CAMM,ST50PKT0YJGT,1D9,ST50PT0W390,,20180906,,11,,,25,,,593,,,5,,,3,,,90,,,,,12.67,20180413,20180613
280601,4,10,144,SUNBROOK,ST50PKT0YJGS,1D10,ST50PT0W3M5,,20180927,,9,,,25,,,643,,,6,,,4,,,96,,,,,9.05,20180413,20180613
280602,4,11,283,ZIPPY,ST50PKT0YJGR,1D11,ST50PT0W2RT,,20180806,,7,,,14,,,447,,,4,,,1,,,63,,,,,4.44,20180413,20180613
280603,4,12,271,KUKRI,ST50PKT0YJGQ,1D12,ST50PT0W2V4,,20180810,,7,,,14,,,391,,,4,,,1,,,71,,,,,4.22,20180413,20180613
280604,5,1,248,SUNVEX,ST50PKT0YJGP,1.00E+01,ST50PT0W30W,,20180831,,8,,,16,,,298,,,12,,,1,,,68,,,,,8.77,20180413,20180613
280605,5,2,184,ARRINO,ST50PKT0YJGN,1.00E+02,ST50PT0W387,,20180806,,8,,,16,,,376,,,9,,,1,,,60,,,,,10.51,20180413,20180613
280606,5,3,283,ZIPPY,ST50PKT0YJKV,1.00E+03,ST50PT0W2RS,,20180806,,8,,,12,,,489,,,5,,,0,,,58,,,,,4.95,20180413,20180613
280607,5,4,105,TASMAN,ST50PKT0YJKT,1.00E+04,ST50PT0W3PX,,20180806,,8,,,18,,,463,,,6,,,1,,,76,,,,,6.69,20180413,20180613
280608,5,5,88,JANZ,ST50PKT0YJKS,1.00E+05,ST50PT0W3RL,,20180831,20180817,9,,,16,,,439,,,5,,,1,,,67,,,,,3.98,20180413,20180613
280609,5,6,275,WYALKATCHEM_HE,ST50PKT0YJKR,1.00E+06,ST50PT0W2TC,,20180808,,8,,,15,,,338,,,5,,,1,,,58,,,,,4.62,20180413,20180613
280610,5,7,266,RAVEN,ST50PKT0YJKQ,1.00E+07,ST50PT0W2Q8,,20180810,,8,,,16,,,754,,,7,,,0,,,85,,,,,10.73,20180413,20180613
280611,5,8,195,CHARA,ST50PKT0YJKP,1.00E+08,ST50PT0W363,,20180829,20180817,,,9,,,16,,,415,,,4,,,4,,,67,,,1.78,20180413,20180613
280612,5,9,273,QUARRION,ST50PKT0YJKN,1.00E+09,ST50PT0W2TQ,,20180827,,8,,,20,,,403,,,5,,,2,,,88,,,,,2.55,20180413,20180613
280613,5,10,269,GLUYAS_EARLY,ST50PKT0YJKM,1.00E+10,ST50PT0W2PP,,20180824,,9,,,17,,,641,,,5,,,3,,,78,,,,,7.04,20180413,20180613
280614,5,11,46,LANCE,ST50PKT0YJKL,1.00E+11,ST50PT0W45J,,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,,,NA,20180413,20180613
280615,5,12,44,COOK,ST50PKT0YJKK,1.00E+12,ST50PT0W45X,,20180831,20180817,9,,,14,,,379,,,10,,,1,,,62,,,,,6.41,20180413,20180613
280616,6,1,86,COBRA,ST50PKT0YJKJ,1F1,ST50PT0W3RZ,,20180808,,9,,,20,,,266,,,6,,,2,,,76,,,,,4.42,20180413,20180613
280617,6,2,35,WW15,ST50PKT0YJKH,1F2,ST50PT0W4BX,,NA,,NA,,,NA,,,NA,,,NA,,,NA,,,NA,,,,,NA,20180413,20180613
280618,6,3,274,TENNANT,ST50PKT0YJKG,1F3,ST50PT0W2TK,,,,,,,,,,,,,,,,,,,,,,,,NA,20180413,20180613
